"Notes"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	"Acute myocardial infarction, unspecified"	"I21.9"	31	55416	55.9	38.0	79.4
	"Autauga County, AL"	"01001"	"Atherosclerotic heart disease"	"I25.1"	15	55416	27.1 (Unreliable)	15.1	44.6
	"Autauga County, AL"	"01001"	"Congestive heart failure"	"I50.0"	19	55416	34.3 (Unreliable)	20.6	53.5
	"Baldwin County, AL"	"01003"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	12	208563	5.8 (Unreliable)	3.0	10.1
	"Baldwin County, AL"	"01003"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	15	208563	7.2 (Unreliable)	4.0	11.9
	"Baldwin County, AL"	"01003"	"Acute myocardial infarction, unspecified"	"I21.9"	63	208563	30.2	23.2	38.6
	"Baldwin County, AL"	"01003"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	53	208563	25.4	19.0	33.2
	"Baldwin County, AL"	"01003"	"Atherosclerotic heart disease"	"I25.1"	129	208563	61.9	51.2	72.5
	"Baldwin County, AL"	"01003"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	39	208563	18.7	13.3	25.6
	"Baldwin County, AL"	"01003"	"Cardiac arrest, unspecified"	"I46.9"	18	208563	8.6 (Unreliable)	5.1	13.6
	"Baldwin County, AL"	"01003"	"Atrial fibrillation and flutter"	"I48"	15	208563	7.2 (Unreliable)	4.0	11.9
	"Baldwin County, AL"	"01003"	"Congestive heart failure"	"I50.0"	58	208563	27.8	21.1	35.9
	"Baldwin County, AL"	"01003"	"Heart failure, unspecified"	"I50.9"	10	208563	4.8 (Unreliable)	2.3	8.8
	"Baldwin County, AL"	"01003"	"Heart disease, unspecified"	"I51.9"	21	208563	10.1	6.2	15.4
	"Barbour County, AL"	"01005"	"Cardiac arrest, unspecified"	"I46.9"	35	25965	134.8	93.9	187.5
	"Bibb County, AL"	"01007"	"Cardiac arrest, unspecified"	"I46.9"	13	22643	57.4 (Unreliable)	30.6	98.2
	"Bibb County, AL"	"01007"	"Cardiovascular disease, unspecified"	"I51.6"	11	22643	48.6 (Unreliable)	24.3	86.9
	"Blount County, AL"	"01009"	"Acute myocardial infarction, unspecified"	"I21.9"	20	57704	34.7	21.2	53.5
	"Blount County, AL"	"01009"	"Atherosclerotic heart disease"	"I25.1"	39	57704	67.6	48.1	92.4
	"Blount County, AL"	"01009"	"Cardiac arrest, unspecified"	"I46.9"	15	57704	26.0 (Unreliable)	14.5	42.9
	"Blount County, AL"	"01009"	"Congestive heart failure"	"I50.0"	32	57704	55.5	37.9	78.3
	"Bullock County, AL"	"01011"	"Heart disease, unspecified"	"I51.9"	12	10362	115.8 (Unreliable)	59.8	202.3
	"Butler County, AL"	"01013"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	19998	55.0 (Unreliable)	27.5	98.4
	"Butler County, AL"	"01013"	"Cardiac arrest, unspecified"	"I46.9"	14	19998	70.0 (Unreliable)	38.3	117.5
	"Butler County, AL"	"01013"	"Congestive heart failure"	"I50.0"	17	19998	85.0 (Unreliable)	49.5	136.1
	"Calhoun County, AL"	"01015"	"Acute myocardial infarction, unspecified"	"I21.9"	96	114611	83.8	67.8	102.3
	"Calhoun County, AL"	"01015"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	53	114611	46.2	34.6	60.5
	"Calhoun County, AL"	"01015"	"Atherosclerotic heart disease"	"I25.1"	37	114611	32.3	22.7	44.5
	"Calhoun County, AL"	"01015"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	14	114611	12.2 (Unreliable)	6.7	20.5
	"Calhoun County, AL"	"01015"	"Sudden cardiac death, so described"	"I46.1"	22	114611	19.2	12.0	29.1
	"Calhoun County, AL"	"01015"	"Cardiac arrest, unspecified"	"I46.9"	87	114611	75.9	60.8	93.6
	"Calhoun County, AL"	"01015"	"Congestive heart failure"	"I50.0"	51	114611	44.5	33.1	58.5
	"Calhoun County, AL"	"01015"	"Heart failure, unspecified"	"I50.9"	10	114611	8.7 (Unreliable)	4.2	16.0
	"Calhoun County, AL"	"01015"	"Heart disease, unspecified"	"I51.9"	32	114611	27.9	19.1	39.4
	"Chambers County, AL"	"01017"	"Atherosclerotic heart disease"	"I25.1"	11	33843	32.5 (Unreliable)	16.2	58.2
	"Chambers County, AL"	"01017"	"Congestive heart failure"	"I50.0"	21	33843	62.1	38.4	94.9
	"Cherokee County, AL"	"01019"	"Cardiac arrest, unspecified"	"I46.9"	14	25725	54.4 (Unreliable)	29.8	91.3
	"Cherokee County, AL"	"01019"	"Congestive heart failure"	"I50.0"	18	25725	70.0 (Unreliable)	41.5	110.6
	"Chilton County, AL"	"01021"	"Acute myocardial infarction, unspecified"	"I21.9"	28	43941	63.7	42.3	92.1
	"Chilton County, AL"	"01021"	"Cardiac arrest, unspecified"	"I46.9"	35	43941	79.7	55.5	110.8
	"Chilton County, AL"	"01021"	"Congestive heart failure"	"I50.0"	30	43941	68.3	46.1	97.5
	"Choctaw County, AL"	"01023"	"Acute myocardial infarction, unspecified"	"I21.9"	32	12993	246.3	168.5	347.7
	"Clarke County, AL"	"01025"	"Acute myocardial infarction, unspecified"	"I21.9"	27	24392	110.7	72.9	161.1
	"Clarke County, AL"	"01025"	"Atherosclerotic heart disease"	"I25.1"	12	24392	49.2 (Unreliable)	25.4	85.9
	"Clarke County, AL"	"01025"	"Congestive heart failure"	"I50.0"	13	24392	53.3 (Unreliable)	28.4	91.1
	"Clay County, AL"	"01027"	"Acute myocardial infarction, unspecified"	"I21.9"	22	13492	163.1	102.2	246.9
	"Clay County, AL"	"01027"	"Congestive heart failure"	"I50.0"	10	13492	74.1 (Unreliable)	35.5	136.3
	"Cleburne County, AL"	"01029"	"Sudden cardiac death, so described"	"I46.1"	23	14924	154.1	97.7	231.2
	"Coffee County, AL"	"01031"	"Acute myocardial infarction, unspecified"	"I21.9"	10	51226	19.5 (Unreliable)	9.4	35.9
	"Coffee County, AL"	"01031"	"Atherosclerotic heart disease"	"I25.1"	24	51226	46.9	30.0	69.7
	"Coffee County, AL"	"01031"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	12	51226	23.4 (Unreliable)	12.1	40.9
	"Coffee County, AL"	"01031"	"Congestive heart failure"	"I50.0"	41	51226	80.0	57.4	108.6
	"Colbert County, AL"	"01033"	"Acute myocardial infarction, unspecified"	"I21.9"	15	54216	27.7 (Unreliable)	15.5	45.6
	"Colbert County, AL"	"01033"	"Atherosclerotic heart disease"	"I25.1"	11	54216	20.3 (Unreliable)	10.1	36.3
